PLACA;MARCA;MODELO;UNIDADE;PROPRIETARIO;RESPONSAVEL;GERENTE;CNPJ PROPRIETARIO;TIPO PROPRIETARIO;SEGURO STATUS
AXW-6H75;SCANIA;SCANIA / P360 4X2;PRI PONTA GROSSA GARAGEM;TRANSPORTES W C M LTDA;Silvio Alves;Joel Schemuda;05.248.305/0001-30;Agente;Inativo
BBK-0G23;VOLKSWAGEN;DELIVERY;PRI PONTA GROSSA GARAGEM;LIDIA FINATTI E CIA LTDA;Silvio Alves;Joel Schemuda;08.769.033/0001-02;Agente;Inativo
AFZ-0E71;M.BENZ;L 1418;PRI PONTA GROSSA GARAGEM;OSNERY JOSE FERRAZ & CIA LTDA;Silvio Alves;Joel Schemuda;08.054.149/0001-65;Agente;Inativo
ABD-7921;VOLKSWAGEN;8150;PRI PONTA GROSSA GARAGEM;LIDIA FINATTI E CIA LTDA;Silvio Alves;Joel Schemuda;08.769.033/0001-02;Agente;Inativo
LYK-8971;FIAT;FIORINO IE;PRI PONTA GROSSA GARAGEM;LIDIA FINATTI E CIA LTDA;Silvio Alves;Joel Schemuda;08.769.033/0001-02;Agente;Inativo
AMW-8776;VOLKSWAGEN;15.180;PRI PONTA GROSSA GARAGEM;LIDIA FINATTI E CIA LTDA;Silvio Alves;Joel Schemuda;08.769.033/0001-02;Agente;Inativo
CUE-2C37;M.BENZ;915C;PRI PONTA GROSSA GARAGEM;MM ENCOMENDAS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;08.015.807/0001-00;Agente;Inativo
MHK-5879;VOLKSWAGEN;8.120;PRI PONTA GROSSA GARAGEM;MM ENCOMENDAS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;08.015.807/0001-00;Agente;Inativo
BAW-5184;RENAULT;MASTER CH;PRI PONTA GROSSA GARAGEM;MM ENCOMENDAS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;08.015.807/0001-00;Agente;Inativo
AYB-3285;REB/LINSHALM;REB/LINSHALM SRF2ECL;PRI PONTA GROSSA GARAGEM;TRANSPORTES W C M LTDA;Silvio Alves;Joel Schemuda;05.248.305/0001-30;Agente;Ativo
AYB-1464;REB/LINSHALM;REB/LINSHALM SRF2ECL;PRI PONTA GROSSA GARAGEM;TRANSPORTES W C M LTDA;Silvio Alves;Joel Schemuda;05.248.305/0001-30;Agente;Ativo
AYM-7B29;FIAT/FIORINO 1.4 FLEX;FIAT/FIORINO 1.4 FLEX;PRI PONTA GROSSA GARAGEM;TRANSPORTES SABATOSKI LTDA;Silvio Alves;Joel Schemuda;06.146.044/0001-00;Agente;Inativo
